Key,Default Value,Value Type,Description
debug.scope,2,integer,"Controls whether there is any debug output.  Possible values are: 0=None (no debug printing), 1=All (print all messages), 2=Only those categories whose keys are enabled.  Debug keys are identified as properties beginning with debug.key"
debug.show.sequence,1,boolean,"When set, outputs a numerical sequence at the beginning of each debug message."
debug.show.thread,1,boolean,"When set, displays the current thread ID and name preceding any debug message."
debug.show.time,1,boolean,"When set, puts the current time at the beginning of each debug message."
debug.task.crashing.simulation,0,boolean,"When set, reads task view attributes starting with the prefix ""task.crash_"" in order to simulate business logic crashes or runtime exceptions in the sub-tasks."
debug.to.file,1,boolean,"When set, writes debug messages to a file."
debug.to.standard.output,0,boolean,"When set, writes debug messages to the standard output device."
debug.unprotected.access.log.name.append.date,1,boolean,"When set, will cause a new log file to be created for each date (the date will be appended to the value of the debug.unprotected.access.log.name property to form the log's file name). This property is only taken into consideration when the debug.unprotected.access.log.to.file is enabled."
debug.unprotected.access.log.name,{logs.directory}/unprotected-access.txt,file path string,"A name for the unprotected access log file. It can be a relative path/filename (e.g. logs/unprotected-access.txt), in which case the file would be relative to the [Destination Folder]/[Enterprise Application Name].ear folder, or it can be an absolute path/filename (e.g. C:/Tecsys/Elite_7x/eswc/logs/unprotected-access.txt). The [Destination Folder] and [Enterprise Application Name] are chosen during the install."
debug.unprotected.access.log.to.file,1,boolean,"When set, all HTTP requests that are not valid will be recorded in a unprotected access log file (identified by the debug.unprotected.access.log.name property); otherwise, invalid HTTP requests will not be logged."
debug.warning.developer.enable,0,boolean,
debug.warning.log.cache.size,1000,integer,Sets the cache size of warning log.
debug.warning.log.cache.stats,0,boolean,"When set to 1, creates a cache for the warning log."
debug.warning.log.name.append.date,1,boolean,"When set, will cause a new warning log file to be created for each date (the date will be appended to the value of the debug.warning.log.name property to form the log's file name). This property is only taken into consideration when the debug.warning.log.to.file property is enabled."
debug.warning.log.name,{logs.directory}/warning.txt,file path string,"A name for the warning log file. It can be a relative path/filename (e.g. logs/warning.txt), in which case the file would be relative to the [Destination Folder]/[Enterprise Application Name].ear folder, or it can be an absolute path/filename (e.g. C:/Tecsys/Elite_7x/eswc/logs/warning.txt). The [Destination Folder] and [Enterprise Application Name] are chosen during the install."
debug.warning.log.to.file,1,boolean,"When set, all warnings will be recorded in a warning log file (identified by the debug.warning.log.name property); otherwise, warning messages will be ignored."
debug.key.pubsub.trace,0,boolean,"Enable/Disable debugging of some core process about topic publishers/subscribers. Such processes include opening a connection with the hub, creating a topic on the hub, etc. These are operations that are not tracked in the usage statistics because they occur too early in the process."
debug.web.service.payload.log.name.append.date,1,boolean,
debug.web.service.payload.log.name,{logs.directory}/web-service-payload.txt,file path string,
debug.web.service.payload.log.to.file,0,boolean,
EXCEL WRITER,,,
excel.writer.max.rows,60000,integer,"Currently only used by the MetadataMigrationTool and the MetaRelationshipValidator. A maximum of this many rows will be written to a single Excel workbook (from the ExcelWriter class). When the number of rows exceeds this number, an additional workbook will be created. All workbook names will end with a 2 digit counter (starting at 00). This counter will be incremented for all subsequent workbooks created."
GENERAL,,,
general.character.encoding,UTF-8,string,The character encoding to use for the application.
general.class.load.method,0,"integer value from list {0,1}","Set to 1 when using Jboss; otherwise, set to 0. Controls the way in which Java classes are loaded into memory."
general.cloud,0,boolean,
general.corporate.user.name,system,string,Defines which user is the corporate system user. Only used for the System Views feature for now. Default: system.
general.data.resource.dir,{data.directory},string,The directory where to drop or retrieve data files used by the import/export feature. This value is derived from the file Bootstrap.properties
general.date.display_format,{month2}/{day2}/{year4},format mask string,"A mask that indicates how dates will be displayed to the user. Possible values are: 1={month2}/{day2}/{year4}, 2={day2}-{month2}-{year4}, 3={year4}/{month2}/{day2}"
general.environment.support.error503,1,boolean,"This property controls whether the environment should handle the 503 errors or Apache. By default (set to 1), the environment handles the 503 errors by setting a cookie that is read by the Apache 503 page. The user is then redirected to a page in the environment that displays the appropriate message and the page automatically tries to log back in when the server is available again. Set it to 0 if you want it to just go to the Apache 503 page and do nothing else."
general.excel.addin.version,3,integer,The version of the Excel Add In supported by this release.
general.extensions.nocache,0,boolean,"When set to 1 (true), this property disables extension caching. This is the mechanism used to cause all extension dependents and prerequisites to be recalculated on each request. This is useful when debugging code and defining those dependencies, as the server does not need to be restarted each time the developer changes dependencies. This is likely to cause a very significant performance hit. Default is false (0). This should always be set to false (0) in QA and PROD environments."
general.extensions.nocontextualize,0,boolean,"When set to 1 (true), this property disables contextualization logic. This is useful when testing validation logic, as fields are not disabled and values can be changed. This works with new extension API only. Default is false (0). This should always be set to false (0) in PROD environments."
general.gs1.fnc1.conversion,/,string,Converts non-printable characters in scanned GS1 bar codes to the character specified. 
general.gs1.user.defined.symbology.identifier,C5,string,The user-defined symbology to use for GS1-128 bar codes.
general.http.content-security-policy.child_domains,*.google.com,string,"The valid sources for web workers and nested browsing contexts loaded using elements such as <frame> and <iframe>. For workers, non-compliant requests are treated as fatal network errors by the user agent."
general.http.content-security-policy.connect_domains,*.sigwebtablet.com:47290 *.sigwebtablet.com:47289,string,"A directive that restricts the URLs which can be loaded using script interfaces. The APIs that are restricted are: <a> ping, Fetch, XMLHttpRequest, WebSocket, and EventSource."
general.http.content-security-policy.enabled,1,boolean,"Content Security Policy (CSP) is a computer security standard introduced to prevent cross-site scripting (XSS), clickjacking and other code injection attacks resulting from execution of malicious content in the trusted web page context.
When set to 1, enable Content Security Policy."
general.http.content-security-policy.object_domains,,string,"The valid sources for the <object>, <embed>, and <applet> elements."
general.http.content-security-policy.script_domains,,string,"The valid sources for JavaScript. This includes not only URLs loaded directly into <script> elements, but also things like inline script event handlers (onclick) and XSLT stylesheets which can trigger script execution."
general.http.hsts-security-policy.enabled,0,boolean,"When set to 1, this property will notify the browser used to access the EliteSeries Web Components software to use the HTTP Strict Transport Security (HSTS) security policy. When the HSTS security policy is used, any communications being sent over HTTP to a specified domain and will be sent over HTTPS. It also prevents HTTPS click through prompts on browsers."
general.http.hsts-security-policy.max_age,31536000,integer,The number of seconds for which HSTS security policy is in effect. The default value is equivalent to 365 days.
general.http.hsts-security-policy.include_sub_domains,1,boolean,"When set to 1, this property determines whether or not subdomains (i.e. subdomain.domain.com) are also included when the HSTS security policy is used. If the property is set to 0, only the main domain (i.e. domain.com) will be included. It is strongly recommended to include subdomains when using the HSTS security policy."
general.label.dtd,C\:\\Program Files\\Loftware Labeling\\batch\\label.dtd,string,The location of the document type definition (DTD) file used to validate the XML structure of the XML files generated for label printing.
general.label.printer.software,loftware,string,The label printing software being used.
general.language.1.default.locale,en_US,locale string,The locale to use when the first language is selected for customers and vendors in the EliteSeries DMS/WMS when forms are printed.
general.language.1.locales,"en_US,en_CA,en_UK",locale string,"The locales that map to the la1 language. When determining which language-specific column to use (example: desc_1 or desc_2), the system will use this property. If the user's locale is found within the list of locales provided, then the la1 column is used (example: desc_1); otherwise, the la2 column is used (example: desc_2). Note that each locale must be specified (example: en_US, en_CA)."
general.language.2.default.locale,fr_CA,locale string,The locale to use when forms are printed and the second language is selected for customers and vendors in the EliteSeries DMS/WMS.
general.literal.resource.bundle,0,integer,
general.locale.country,US,string,See note on general.locale.language.
general.locale.language,en,string,"Together with the general.locale.country property forms the default locale. It is used in areas of the application where a user's locale is not available; for example, before the user has logged in."
general.login.save_last_username,0,boolean,Defines whether the system remembers the last user name that logged in from that PC.
general.memory.manager.correction.damper.ratio,0.25,float,"Each time a release is triggered, the memory manager evaluates how accurately the MemoryManaged reports the estimated memory used and adjusts its own correction factor. When set to 0, the correction factor is not adjusted. When set to 1, the correction factor is adjusted rapidly but can cause glitches as the evaluation of accuracy is not accurate in itself. Never set the value to greater than 1."
general.memory.manager.high.usage.dump,0,boolean,Generates a heapdump when low memory is detected.
general.memory.manager.high.usage.threshold,0.85,float,The threshold above which the memory manager will trigger the memory release.
general.memory.manager.initial.correction.factor,1,float,The correction factor used by the memory manager to estimate the MemoryManaged usages. This typically changes on 32-bit and 64-bit platforms.
general.memory.manager.log.detail,0,integer,MemoryManager - Log: Details the memory managed instance that is released from the manager.
general.memory.manager.log.detail.min.threshold,0,integer,MemoryManager - Log: Only details the memory managed instance that is released if its size is greater than the defined threshold (in bytes).
general.memory.manager.log.register,0,integer,MemoryManager - Log: Details when a memory managed instance is registered against the manager. Logged when a memory managed instance is unregistered from the manager.
general.memory.manager.log.stacktrace,0,integer,MemoryManager - Log: The registered stack trace of the memory managed instance when memory is released from the manager. The stack trace is captured when registering the memory managed instance. This information is printed if the memory managed instance details are printed (log.detail).
general.memory.manager.max.correction.factor,2,float,The maximum value of the correction factor.
general.memory.manager.max.wait.time,15000,long,The maximum time (ms) the memory manager can wait for MemoryManaged to finish the release.
general.memory.manager.min.correction.factor,0.5,float,The minimum value of the correction factor.
general.memory.manager.notification.emails,,string,The list of email recipients that will receive a notification when a heapdump is generated.
general.memory.manager.release.target,0.8,float,The target memory usage the memory manager is aiming at when a release is triggered.
general.memory.manager.sleep.time.after.gc,0,long,"The time (ms) the memory manager will wait after the MemoryManager has finished releasing and calling a GC, but before reading the new memory usage from the JVM."
general.memory.manager.sleep.time.before.gc,250,long,"The time (ms) the memory manager will wait after MemoryManager has finished the release, but before calling a GC. This is necessary to leave time for the JVM to realize that some references has been nullified."
general.memory.manager.wait.interval,100,long,The period of time (ms) the memory manager will wait before checking if the MemoryManager has finished releasing in a for loop until the MemoryManaged actually finishes.
general.memory.manager.warn.usage.threshold,0.7,float,The threshold above which a warning is issued informing users that the system is running with low memory. Not implemented yet.
general.metadata.prime.view.max,30,integer,"When refreshing the metadata, iTopia® primes a subset of the metadata based on the views used most frequently . This property defines the number of frequently used views that should be primed."
general.minimized_resources.enabled,1,boolean,
general.multi.time_zone.support,0,boolean,"Defines whether multiple time zones are supported. When set to Yes, the user can select different time zones with system, and in the UI, all the value in the timestamp columns will be calculated by user's time zone. When set to No, the user's time zone is set to the system time zone."
general.notifications.active,1,boolean,"Defines whether the notification mechanism is active. If inactive, neither the user, nor the server will send requests to get notifications.
Dynamically refreshed if changed (for development purposes). The drawback is that the notification mechanism will not take into account the new values in the pages that are not refreshed."
general.notifications.server_threshold.refresh,15000,integer,The threshold between two refreshes of cached notification lists for the server. Verified when the user makes a request.
general.notifications.user_threshold.prompt,6000,integer,The duration that the notification prompt is displayed (= delay for a JavaScript timer).
general.notifications.user_threshold.refresh,15000,integer,The threshold between two user requests to the server to get new notifications (= delay for a JavaScript timer).
general.number.decimal_separator,{period},Either {period} or {comma} string,"The choice of a digit group separator, commonly the thousands separator. For example, in the number 123.456.789,000 the period is the thousands separator and the comma is the decimal separator. 
Note: The digit group separator must be different than the decimal separator."
general.number.digit_group_separator,{comma},Either {period} or {comma} string,"The choice of a digit group separator, commonly the thousands separator. For example, in the number 123.456.789,000 the period is the thousands separator and the comma is the decimal separator. 
Note: The digit group separator must be different than the decimal separator."
general.outbound.plan.serial,0,boolean,
general.query_pending_transaction_retry.attempts,300,integer,The number of times to query database system tables to determine if there are still transactions executing.
general.query_pending_transaction_retry.interval,5000,integer,The time in milliseconds between attempts to check if pending transactions have been completed.
general.resource.custom.css.artifact.version,,string,
general.results.max_num_cells,50000,integer > 0,The maximum number of cells that are permitted to be created or updated using the Edit with Excel functionality.
general.session.cache.dir,{temp.directory}/cache,absolute directory string,The directory where to store the sessions cache. This value is derived from the file Bootstrap.properties.
general.session.cache.max,5,integer > 0,"The maximum number of pages kept in the cache queue for every user session. When the queue is full, the oldest information is bumped off of the queue and written to a disk."
general.show.build.number,0,boolean,"When set to 1, the build number will be displayed on the login page."
general.show.whats.new,1,boolean,
general.ssl.key.password,{ssl.key.password},string,The password to load the key in the keystore.
general.ssl.key.store,{ssl.key.store},file path - relative or absolute string,The location of the Java keystore. This value is derived from the file Bootstrap.properties
general.ssl.key.store.password,{ssl.key.store.password},string,The password to load the keystore. This value is derived from the file Bootstrap.properties
general.sql.statement.max.size,50000,integer,Defines the maximum size allowed for SQL select statements that are dynamically generated by the system.
general.sql.tracker.enable,1,boolean,"When set to 1, tracks SQL statements and logs them to a file."
general.startup.load.jar,0,boolean,"When set, loads all of the JARs at startup time. Any change made during development will be reflected immediately in the local environment currently running."
general.support.user.name,tecuser,string,The username with which Tecsys support representatives access the system.
general.task.skip.session.attributes,"dms_trans_date,dms_curr_period,dms_curr_year",string,"When a task is scheduled to be executed, any session attributes specified on this list will be kept instead of being replaced by the values saved in the task. The list of attributes is separated by commas."
general.tecsys.resource.base,,directory path - relative or absolute string,"Populated by the deployer script. HTML, image, JavaScript, and other resources required by the application are expected in this location."
general.tg.show_visual,1,boolean,Controls whether or not visual information (i.e. pictures/images/text) will be displayed when the Tecsys Voice Client is used.
general.theme,default,string,The theme that will be used before the user has logged in. Currently there is only one possible value.
general.unfiltered.resource_extensions,css|jpg|png|gif|js|svg|pdf|html|htm|txt|jpeg|xml|dtd|xsd|zip|jar|jnlp|ico|map|xls|xlsx,list of string values separated by a pipe sign (|),
general.user.available.theme,"default,wine",string,The list of available themes.
general.user.name,tecsys,string,The user that represents the system. The preferences for the system user are the default (system-wide) preferences. The system user is the only user that can specify permanent criteria on a view. The system user ID is used to perform housekeeping and internal system functions.
general.user_resource.dir,{deployment.directory}/{tecsysweb.war.name}/user_resource,file path string,The location of the user resources directory. This value is derived from the file Bootstrap.properties
general.web.dir,{deployment.directory}/{tecsysweb.war.name},file path - relative or absolute string,This specifies the path/filename on the hard disk where the web root is. This folder can access any file available to the web layer.
general.wf.use_forward,1,integer,
general.work.resource.dir,{temp.directory}/work,file path string,The location of the work directory. This value is derived from the file Bootstrap.properties
general.xsl.dir,{deployment.directory}/{tecsysweb.war.name}/xsl,file path - relative or absolute string,This specifies the path/filename on the hard disk where the XSL style sheets used by some Metadata Engine components are kept.
JASPER REPORT,,,#N/A
jasper.global.from.email,{mail.server.sender.jasper},string,"The property specifying the From email to use when emailing Jasper form reports. For example, if the email is system specific, the following could be used: Jasper.global.from.email.<database_name>."
jasper.output.format,0,boolean,"Specifies if a specific printer should be used.
Bypassing output device (1=bypass and 0=no bypass)."
jasper.output.format.printername,,integer,"If the jasper.output.format property is set to 1, look for the printer specified by this property."
jasper.output.max.enabled,1,boolean,"If this property is set to 1, then a limit is enforced on the possible number of pages that can be produced, thus preventing the system from running out of memory."
jasper.output.max.wms_bol,1000,integer,The maximum number of pages of the WMS bill of lading for each system.
jasper.output.max.wms_cpack,1000,integer,The maximum number of pages for WMS container packing lists for each system.
jasper.output.max.wms_mpack,1000,integer,The maximum number of pages for WMS master packing lists for each system.
jasper.output.max.wms_pick,1000,integer,The maximum number of pages for WMS picking lists for each system.
jasper.printer.timeout,60000,integer,Ensures that the application does not get hung up in case there is a network hang up on the other end.
jasper.report_compiled.cache,0,integer,
jasper.test.tool.container.query.filename,mpackContainer.txt,filename string,
jasper.test.tool.detail.comments.filename,mpackDetailComments.txt,filename string,
jasper.test.tool.header.comments.filename,mpackHeaderComments.txt,filename string,
jasper.test.tool.lot.query.filename,mpackLot.txt,filename string,
jasper.test.tool.main.query.filename,mainQuery.txt,filename string,
jasper.test.tool.main.query.url,sqlQuery,filename string,
jasper.test.tool.query.parameter.filename,mainQueryParameter.txt,filename string,
jasper.test.tool.serial.number.filename,mpackSerialNumber.txt,filename string,
MESSAGING,,,#N/A
msg.admin.email,{sys.admin.email},string,"In the database tool, when running a task (for example, Copy Data), will send an email to this value."
msg.admin.email.interval,30,integer,The number of minutes to wait before a fatal or system error is sent to the email administrator.
msg.admin.email.recipients,{sys.admin.email},email addresses string,A list of recipient email addresses separated by commas.
msg.admin.email.sender,{mail.server.sender},email address string,"The system administrator’s email address. Used by the Messaging System to notify the administrator when an errant message is encountered, or when an agent terminates abnormally."
msg.autoresume.job,1,boolean,Allows incomplete messaging jobs to be resumed on server startup. 
msg.autostart.listener,0,boolean,Enable service listeners on server startup. Currently only used for Hl7.
msg.autostart.queue,1,boolean,Automatically start all queue consumers on server startup. 
msg.autostart.timer,1,boolean,Automatically start all timers on server startup. 
msg.debug.dir,{logs.directory},diabsolute directory string,
msg.dedicated_resources.queues,,string,"The queues defined as a dedicated resource. Multiple queues can be defined by separating them with commas.
A queue defined as a dedicated resource has the following characteristics:
- The number of prepared statements allowed by the database connection for the associated queue ignores the value defined for the database connection and uses a fixed high value (300).
- The database connection used by a queue defined as a dedicated resource is not closed.

If you experience connectivity issues when using a queue defined as a dedicated resource, you will need to set the following properties to the associated database connection:

db.connection.abc.xyz.pool.properties.validation.query=[validation query statement]
db.connection.abc.xyz.pool.properties.test.on.borrow=true

Where abc is the application database associated with the queue being used and xyz is the connection set. Please refer to these properties for more information.

For example:

db.connection.wms.eliteseries_3.pool.properties.validation.query=select 1
db.connection.wms.eliteseries_3.pool.properties.test.on.borrow=true"
msg.file.detect.growth.interval,500,integer,"The time to wait before processing a file for queues consuming files (email, transfer, remote data, transformation, XML file in). If the size of a file is growing during that time, then it will not be processed as part of the consumption of this queue message."
msg.queue.timeout_in_min,420,integer,The time in minutes before the session used to consume a queue messages times out.
msg.queue_wakeup.interval-in-miliseconds,50,milliseconds integer,The time in milliseconds to wait between checks for queues to wakeup.
msg.subscriber.meta_email_notification.class_name,com.tecsys.msg.api.sub.MsgEmailNotificationSubscriber,string,
msg.transaction.error.threshold,1000,integer,
msg.webservice.timeout-in-ms,0,integer,
